Time,Drug,Bird 1,Bird 2,Bird 3,Bird 4,Bird 5,Bird 6,Bird 7,Bird 8
0.5,APAP,592.9,1752.5,164.7,239.3,1448.3,607.7,762.7,9572.7
1,APAP,562.4,1798.0,1571.7,369.7,3950.1,3042.2,1597.2,7825.4
2,APAP,542.4,1783.9,1296.1,639.9,1315.7,2166.0,1025.9,1813.5
3,APAP,533.4,1227.5,503.0,1212.5,922.0,1146.4,431.9,403.5
4,APAP,354.7,864.4,396.5,1129.0,588.7,399.4,415.6,111.3
8,APAP,77.9,16.2,25.8,126.1,30.6,17.4,183.9,0
12,APAP,0,0,7.464317213,8.362601767,0,0,75.34016,0
24,APAP,0,0,0,0,0,0,0,0
0.5,APAP + NAC,2955.0,1267.8,1093.5,754.0,2553.7,2035.0,853.0,3211.1
1,APAP + NAC,1618.8,1443.6,1318.6,1118.4,2298.3,2524.9,633.8,2602.3
2,APAP + NAC,831.9,1498.1,731.6,574.8,813.1,2201.9,831.6,1429.8
3,APAP + NAC,395.5,1125.4,460.8,936.1,1515.3,2060.6,955.4,489.4
4,APAP + NAC,182.3,948.0,389.8,474.5,588.8,1008.3,718.9,213.9
8,APAP + NAC,41.8,77.2,17.0,12.6,55.3,52.6,96.9,24.6
12,APAP + NAC,11.6,16.8,9.96,25.4,7.33,10.5,14.1,0
24,APAP + NAC,0,0,0,0,0,0,0,0
0.5,APAP + Silymarin,768.4,676.6,621.2,973.0,467.8,204.5,349.6,2954.2
1,APAP + Silymarin,955.8,1672.2,729.5,4568.9,2355.1,2507.0,912.2,3713.8
2,APAP + Silymarin,566.3,2084.0,698.1,1523.7,1272.9,1418.7,1025.8,3583.8
3,APAP + Silymarin,1083.0,1847.4,799.6,1286.9,1102.0,1951.0,931.2,2290.8
4,APAP + Silymarin,944.6,2177.4,1033.8,1116.0,864.2,980.5,572.8,2117.3
8,APAP + Silymarin,53.1,35.3,62.1,11.4,237.9,174.6,107.3,46.5
12,APAP + Silymarin,8.24,0.0,27.0,0.0,17.9,19.5,660.9,0
24,APAP + Silymarin,0,0,0,3.19,0,0,0,0
